date	user	message	stream
2024-09-21 14:49:43 UTC	Typhu25	wait imagine the baby comes out	117
2024-09-21 14:57:36 UTC	mj___1313	dont most women do surgery to get the baby out without pain	117
2024-09-21 15:01:23 UTC	Martin_Gales	all i heard was that he had baby oil and thats it	117
2024-09-22 16:14:20 UTC	InsomniacTim	Having a baby doesn't mean they're dating	118
2024-09-23 12:52:07 UTC	waadulf	Incel solved warham15Yesbaby	119
2024-09-23 15:16:52 UTC	banties1g	with baby oil?	119
2024-09-23 15:17:04 UTC	Zeololz	baby oil and fire are dangerous	119
2024-09-23 15:28:31 UTC	p0wderbot	If olive oil comes from olives, where does baby oil come from?	119
2024-09-23 16:21:49 UTC	gs0028	buy 1000 bottles of babyoil	119
2024-09-23 16:38:16 UTC	Typhu25	dreamwastaken aha baby wanna become famous?	119
2024-09-23 16:47:18 UTC	Prisky	wait is that real he used baby oil for that???	119
2024-09-24 16:39:53 UTC	x3lolx	hey dora how u doing baby	120
2024-09-25 15:09:45 UTC	zimonspp	doro baby groni or livvy dukne?	121
2024-09-26 16:44:34 UTC	BoxxyBaby	BoxxyBaby subscribed with Prime. 	122
2024-09-26 18:07:16 UTC	Sanguinaryyyy	BabyRage	122
2024-09-28 17:21:50 UTC	xanaxmove	i know one girl from my school who has a baby	123
2024-09-29 12:14:10 UTC	balintboss	Stop touching BabyRage	124
2024-09-30 14:49:46 UTC	JBIN2036	baby oil consumers	125
2024-10-03 13:44:18 UTC	lWALEEDl	Hi baby	126
2024-10-04 14:11:15 UTC	TheDoctorFlash	1DLove baby just say yeees	127
2024-10-05 15:00:04 UTC	Sajad_rez	whats bbyoil, did they take oil from baby bodyß	128
2024-10-05 15:12:22 UTC	hojibekr	You mean Baby oil like Diddy uses	128
2024-10-05 15:43:05 UTC	lWALEEDl	hi baby	128
2024-10-06 12:39:03 UTC	skyforwall	You my baby?	129
2024-10-06 12:39:05 UTC	ayoubgaidi	hi baby	129
2024-10-06 12:56:04 UTC	Drizzie3S	Behind that batman curtain there is 1000 bottles of babyoil	129
2024-10-06 14:14:26 UTC	m00d7	HELLO BABY Kappa	129
2024-10-07 14:15:43 UTC	socaos	@sbeedy19 ye if like Lily Collins and Lana del Rey had a baby @dorozea	130
2024-10-07 17:40:01 UTC	fuzok4	@somalidababy you are not welcome here	130
2024-10-07 18:05:44 UTC	sammithyst	the filter for the baby	130
2024-10-09 13:13:50 UTC	maleganer	Hi Doro, you very very beautiful baby	132
2024-10-09 16:03:02 UTC	Drizzie3S	Dota is Valves baby	132
2024-10-10 13:03:37 UTC	tennysonjr17	Yooo hey baby	133
2024-10-10 13:47:05 UTC	thebigdogjay	ptsd hearing a baby cry PTSD	133
2024-10-10 13:54:02 UTC	stfuWobbly	ALIIIIICE BabyRage	133
2024-10-10 13:55:14 UTC	stfuWobbly	alexa do the dishes BabyRage	133
2024-10-10 16:41:57 UTC	IvanOnMyOwn	its when you have a baby in your tummy	133
2024-10-12 12:00:42 UTC	sulimandado	how are you baby	134
2024-10-12 12:27:17 UTC	valijon_xodjayev	what is love baby dont hurt me no more	134
2024-10-12 13:52:26 UTC	noumerhasan	Hello baby	134
2024-10-12 13:58:48 UTC	noumerhasan	Where are you from baby	134
2024-10-12 14:01:55 UTC	noumerhasan	Do you love 69 baby??	134
